[DAI43868, SNA82528]=0.972972972972973
[DAI62779, DAI23334]=0.9545454545454546
[FRO40251, DAI53152]=0.717948717948718
[SNA18336, DAI62779]=0.7136812411847673
[ELE25077, GRO89004]=0.698051948051948
[DAI37288, ELE32164]=0.6464088397790055
[ELE92920, SNA18336]=0.6417489421720733
[ELE66600, ELE32244]=0.6403508771929824
[GRO44993, FRO73056]=0.6016483516483516
[DAI62779, FRO19221]=0.5976714100905562
[DAI18527, SNA44451]=0.5828571428571429
[SNA24799, ELE88583]=0.5792682926829268
[FRO85978, SNA95666]=0.5758706467661692
[ELE66810, FRO41939]=0.5735294117647058
[GRO46854, GRO81045]=0.5674603174603174
[DAI62779, ELE81534]=0.5633802816901409
[DAI62779, ELE59028]=0.549777117384844
[GRO24246, SNA30859]=0.53125
[FRO40251, ELE20847]=0.530562347188264
[SNA80324, ELE20847]=0.5012224938875306
[ELE92920, DAI23334]=0.5
[ELE88583, GRO30912]=0.5
[DAI62779, GRO30912]=0.49047619047619045
[DAI92600, DAI42083]=0.4904214559386973
[DAI62779, DAI67189]=0.4857142857142857
[SNA82528, DAI43868]=0.48484848484848486
[DAI62779, SNA93730]=0.48125
[DAI94679, DAI83031]=0.47474747474747475
[ELE38289, DAI88088]=0.45685279187817257
[FRO17734, ELE28189]=0.45429362880886426
[GRO94758, ELE78169]=0.45161290322580644
[FRO19221, ELE69552]=0.44884488448844884
[DAI62779, ELE88583]=0.4481707317073171
[DAI62779, ELE69552]=0.44224422442244227
[DAI85309, ELE99737]=0.4346965699208443
[DAI62779, SNA53220]=0.42758620689655175
[SNA24799, ELE30182]=0.41605839416058393
[SNA80324, DAI75645]=0.4130116959064328
[DAI62779, ELE17451]=0.41083870967741937
[DAI62779, SNA38068]=0.40567200986436497
[DAI62779, DAI85309]=0.40034888791975576
[DAI50913, GRO33815]=0.3959537572254335
[DAI62779, SNA57865]=0.3948051948051948
[ELE17451, SNA59903]=0.3939393939393939
[GRO30386, DAI62779]=0.38532608695652176
[DAI62779, SNA59903]=0.3838383838383838
[DAI62779, GRO17075]=0.3831417624521073
[GRO46854, SNA66583]=0.3831417624521073
[DAI62779, ELE78169]=0.3817204301075269
[DAI62779, SNA93860]=0.3816631130063966
[SNA96271, SNA74022]=0.3741258741258741
[DAI75645, ELE20847]=0.3740831295843521
[ELE74482, ELE37770]=0.373015873015873
[SNA45677, ELE78169]=0.36917562724014336
[DAI88807, SNA59903]=0.3681257014590348
[DAI62779, SNA96466]=0.3675889328063241
[ELE37048, DAI22240]=0.36683417085427134
[SNA80324, FRO40251]=0.3638237567637207
[DAI88807, SNA72163]=0.3614678899082569
[GRO44993, SNA85241]=0.3611940298507463
[DAI62779, SNA55762]=0.3602673147023086
[FRO43226, DAI86167]=0.3575757575757576
[ELE17451, DAI42083]=0.3544061302681992
[DAI62779, SNA74022]=0.3531468531468531
[DAI62779, GRO83463]=0.34191176470588236
[SNA96271, DAI62779]=0.3413127413127413
[DAI62779, DAI48126]=0.3405275779376499
[DAI62779, ELE20847]=0.33618581907090467
[DAI62779, FRO79022]=0.33155792276964047
